icd10,doid
Q78.8,11991
Q79.8,12961
G93.5,11457
N46,12336
K90.0,10608
Q77.4,4480
O14.2,13133
C46.0,8632
C63.1,13169
K04.2,5608
C75.9,170
H49.4,12558
C71.0,1659
B48.1,2409
M53.0,6692
K12.2,0060310
H35.4,12161
H33.2,5327
G71.2,0112374
J12.9,10533
E24.3,0060890
B00.9,8566
B34.9,934
I49.5,13884
Q98.0,1921
L13.0,8505
L80,12306
K05.1,3087
C70.1,7224
B08.3,8743
J93.0,1672
L10.0,0060851
J40,6132
N64.1,10691
I45.8,0110656
D02.2,8800
H11.9,4251
G90.0,11488
Q80.3,4603
H60.2,10516
D18.1,1475
Q21.9,1681
D47.7,0060888
I70.1,14092
N36.1,9341
C67.6,11818
C96.4,7849
A75.1,11254
Q82.8,3144
J43.8,9675
C69.4,4352
G23.2,4751
K11.2,10303
J67.2,13891
Q44.4,899
A30.5,10887
I01.9,8481
M72.4,7327
N28.1,9621
H30.2,12731
G52.1,14423
B50.0,14069
F53.0,9478
N85.5,997
E80.1,3132
L65.8,0060689
B67.7,12148
A18.2,4889
G70.0,437
P78.0,2073
Q71.6,0090021
E75.0,3321
Q42.3,10488
C22.1,4947
D64.3,8955
C40.2,10149
K90.3,10610
D73.3,2530
E78.3,14118
G93.2,11459
H18.9,10124
G95.1,320
C18.0,1521
J35.2,0060311
A66.6,10568
I06.1,57
N40,13206
Q73.8,0110975
N48.6,8616
B66.3,885
A84.1,0050175
M21.8,0060231
Q22.6,0070315
K91.5,9740
F63.1,12402
K05.4,9893
M42.0,13300
H40.1,1067
I67.4,9427
C18.1,11239
M12.3,1166
H53.6,8499
C02.0,8649
H52.4,11638
B74.3,13523
A46,11330
Q35.3,0110214
F80.1,11385
C23,3121
I49.8,0110226
D68.9,1247
Q82.3,12305
Q76.3,0090143
I88.1,1602
F40.0,593
D84.8,0090011
C60.2,11615
A18.0,1639
C08.1,8849
F21,10646
H74.1,11235
J32.3,10794
E53.1,8455
M43.0,2300
Q77.6,12714
C84.0,8691
N76.0,2273
A52.2,10035
Q03.1,2785
C71.2,2135
L01.0,8504
H44.4,790
D68.2,2216
Q84.1,0050472
H05.1,1397
D81.1,0090013
C84.1,8541
Q35.5,0110213
M34.0,418
G60.8,0070158
E23.2,9409
K00.3,13711
E88.1,811
E80.6,12308
A49.9,104
H81.0,9849
G00.0,0080179
J32.0,2051
J63.4,10328
M35.2,13241
I50.9,6000
M81.0,11476
A83.5,0050118
F52.0,13868
N48.3,9286
Q87.3,5572
A66.0,10568
G91.0,1573
E16.4,0050782
B66.4,10699
A83.2,10841
A78,11100
C67.1,11820
C13.2,8533
B54,12365
N17.0,12556
B04,3292
K50.1,8778
Q61.3,898
E73.0,0111646
Q99.2,14261
E72.4,9271
N83.4,12735
E71.3,0090129
E55.0,10609
C67.3,11814
C26.1,672
D12.6,0080410
Q00.0,0060668
C88.9,2916
C18.6,12190
H35.1,13025
A15.6,106
A07.2,1733
L95.1,0060567
G45.0,13003
C40.3,10151
Q07.8,560
C74.1,5719
B48.2,11186
I73.9,3669
C63.0,10366
Q45.1,0060850
J67.6,8484
C85.9,0060060
I67.9,6713
M76.6,12857
C92.3,8683
M41.9,0060249
E05.0,12361
J63.2,10322
Q44.2,13608
I86.1,12337
M48.0,6725
E24.1,4968
A39.0,0080176
E78.1,1172
