icd10code,symptoms
A00.0,"abdominal pain, severe dehydration, fever, vomiting, constipation"
A00.1,"fever, abdominal pain, severe diarrhea, vomiting, loss of appetite"
A00.9,"abdominal pain, loss of appetite, severe dehydration, profuse diarrhea, vomiting"
A01.0,"fever, abdominal pain, nausea and vomiting, diarrhea, dehydration"
A01.1,"fever, abdominal pain, diarrhea, vomiting, anorexia"
A01.2,"fever, abdominal pain, nausea and vomiting, diarrhea, enlarged spleen or liver"
A01.3,"abdominal pain, fever, diarrhea, vomiting, dehydration"
A01.4,"fever, abdominal pain, diarrhea with blood or mucus, weakness, loss of appetite"
A02.0,"abdominal pain, loss of appetite, diarrhea, fever, vomiting"
A02.1,"abdominal pain, weight loss, nausea, vomiting, chronic diarrhea"
A02.2,"abdominal pain, fever, diarrhea, vomiting, loss of appetite"
A02.8,"abdominal pain, diarrhea, vomiting, fever, loss of appetite"
A02.9,"abdominal pain, diarrhea, fever, loss of appetite, weight loss"
A03.0,"abdominal pain, fever, diarrhea, vomiting, loss of appetite"
A03.1,"abdominal pain, fever, diarrhea, nausea, vomiting"
A03.2,"abdominal pain, fever, diarrhea, nausea, vomiting"
A03.3,"abdominal pain, fever, diarrhea, nausea, vomiting"
A03.8,"fever, abdominal pain, diarrhea, nausea, vomiting"
A03.9,"diarrhea, abdominal pain, fever, nausea and vomiting, loss of appetite"
A04.0,"abdominal pain, diarrhea, fever, loss of appetite, nausea and violent vomiting"
A04.1,"abdominal pain, bloody diarrhea, fever, nausea and vomiting, loss of appetite"
A04.2,"diarrhea, abdominal pain, loss of appetite, weight loss, fever"
A04.3,"fever, abdominal pain, nausea, vomiting, diarrhea"
A04.4,"fever, abdominal pain, diarrhea, nausea and vomiting, loss of appetite"
A04.5,"diarrhea, stomach cramps, nausea, vomiting, loss of appetite"
A04.6,"diarrhea, stomach cramps, fever, loss of appetite, nausea and vomiting"
A04.7,"diarrhea, stomach cramps, nausea and vomiting, fever, loss of appetite"
A04.8,"abdominal pain, diarrhoea, fever, nausea, loss of appetite"
A04.9,"abdominal pain, fever, diarrhea, nausea and vomiting, loss of appetite"
A05.0,"fever, abdominal pain, diarrhea, nausea or vomiting, loss of appetite"
A05.1,"fever, nausea and vomiting, abdominal pain, diarrhea, lack of appetite"
A05.2,"fever, abdominal pain, diarrhea, loss of appetite, vomiting"
A05.3,"abdominal pain, diarrhea, fever, nausea and vomiting, general weakness"
A05.4,"fever, abdominal pain, diarrhea, vomiting, loss of appetite"
A05.8,"fever, abdominal pain, diarrhea, vomiting, loss of appetite"
A05.9,"fever, abdominal pain, vomiting, diarrhea, loss of appetite"
A06.0,"abdominal pain, bloating, diarrhea, loss of appetite, unintended weight loss"
A06.1,"diarrhea, stomach cramping, nausea, excessive gas, loss of appetite"
A06.2,"abdominal pain, diarrhea, loss of appetite, weight loss, bloody stools"
A06.3,"abdominal pain, diarrhea, weight loss, nausea and vomiting, fatigue"
A06.4,"abdominal pain, nausea and vomiting, fever, dehydration, chronic diarrhea"
A06.5,"abdominal pain, diarrhea, weight loss, poor appetite, feeling of fatigue"
A06.6,"abdominal pain, frequent diarrhea, fatigue, loss of appetite, weight loss"
A06.7,"abdominal pain, upset stomach, fever, diarrhea, loss of appetite"
A06.8,"abdominal pain, diarrhea, fever, weight loss, fatigue"
A06.9,"abdominal pain, diarrhea, nausea and vomiting, anorexia (loss of appetite), fatigue"
A07.0,"abdominal pain, bloating, diarrhea, weight loss, greasy stools"
A07.1,"diarrhea, abdominal pain, loss of appetite, dehydration, fever"
A07.2,"abdominal cramps, fatigue, watery diarrhea, dehydration, unexplained weight loss"
A07.3,"diarrhea, abdominal pain, bloating, weight loss, excessive gas or belching"
A07.8,"diarrhea, abdominal pain, bloating, weight loss, malabsorption"
A07.9,"abdominal pain, diarrhea, nausea, vomiting, loss of appetite"
A08.0,"fever, abdominal cramping, nausea, vomiting, diarrhea"
A08.1,"nausea, vomiting, abdominal pain, fever, and diarrhea"
A08.2,"diarrhea, abdominal cramps, loss of appetite, nausea, vomiting"
A08.3,"stomach cramps, nausea, vomiting, diarrhea, loss of appetite"
A08.4,"abdominal pain, vomiting, watery diarrhea, mild fever, loss of appetite"
A08.5,"abdominal pain, vomiting, fever, dehydration, loss of appetite"
A09.0,"diarrhea, stomach pain, nausea or vomiting, fever, loss of appetite"
A09.9,"abdominal pain, nausea and vomiting, diarrhea, fever, and loss of appetite"
A15.0,"persistent cough, chest pain, weight loss, fever, fatigue"
A15.1,"persistent cough, weight loss, night sweats, fever, chest pain"
A15.2,"persistent cough, chest pain, fever, weight loss, night sweats"
A15.3,"cough, weight loss, chest pain, night sweats, fatigue"
A15.4,"fever, chronic cough, night sweats, fatigue, unexplained weight loss"
A15.5,"chronic cough, weight loss, fatigue, night sweats, chest pain"
A15.6,"persistent cough, chest pain, fever, night sweats, weight loss"
A15.7,"persistent cough, night sweats, weight loss, fatigue, blood in sputum"
A15.8,"persistent cough, fatigue, night sweats, loss of appetite, mild fever"
A15.9,"night sweats, chronic cough, weight loss, fatigue, chest pain"
A16.0,"cough with blood (hemoptysis), chest pain, unintentional weight loss, fatigue, night sweats"
A16.1,"cough, fever, fatigue, night sweats, weight loss"
A16.2,"cough producing phlegm, chest pain, difficulty breathing, persistent fatigue, loss of appetite"
A16.3,"persistent cough, night sweats, chest pain, weight loss, fever"
A16.4,"chest pain, cough, fever, night sweats, weight loss"
A16.5,"cough, fever, weight loss, night sweats, chest pain"
A16.7,"cough, weight loss, fatigue, night sweats, difficulty breathing"
A16.8,"cough, weight loss, fever, night sweats, chest pain"
A16.9,"persistent cough, chest pain, weight loss, fatigue, coughing up blood"
A17.0,"headache, nausea and vomiting, memory loss, changes in vision, general weakness"
A17.1,"persistent headache, nausea and vomiting, vision disturbances, altered mental status, neurological deficits such as limb weakness or speech issues"
A17.8,"headache, nausea, seizures, cognitive impairment, behavioral changes"
A17.9,"headache, nausea, vomiting, mental status changes, fever"
A18.0,"coughing up blood, chest pain, shortness of breath, night sweats, fatigue"
A18.1,"persistent cough, chest pain, shortness of breath, fever, night sweats"
A18.2,"chronic cough, fever, night sweats, weight loss, chest pain"
A18.3,"night sweats, weight loss, fever, fatigue, cough with blood or mucus"
A18.4,"persistent cough, chest pain, shortness of breath, weight loss, night sweats"
A18.5,"chronic cough, chest pain, fatigue, difficulty breathing, night sweats"
A18.6,"persistent cough, hemoptysis (coughing up blood), chest pain, shortness of breath, fever"
A18.7,"abdominal pain, loss of appetite, weight loss, fatigue, night sweats"
A18.8,"fever, night sweats, weight loss, cough, fatigue"
A19.0,"fever, cough, night sweats, weight loss, fatigue"
A19.1,"fever, night sweats, weight loss, cough, chest pain"
A19.2,"fever, cough, night sweats, chest pain, weight loss"
A19.8,"fever, cough, fatigue, malaise, night sweats"
A19.9,"fever, night sweats, weight loss, persistent cough, chest pain"
A20.0,"fever, fatigue, headache, lymphadenopathy, and skin ulcer"
A20.1,"fever, chills, weakness, swollen lymph nodes, headache"
A20.2,"fever, headache, chills, muscle pain, fatigue"
A20.3,"fever, headache, chills, malaise, swollen lymph nodes"
A20.7,"fever, headache, nausea, vomiting, swollen lymph nodes"
A20.8,"fever, headache, malaise, muscle pain, lymphadenopathy"
A20.9,"fever, chills, swollen lymph nodes, headache, muscle pain"
A21.0,"fever, headache, malaise, fatigue, swollen lymph nodes"
A21.1,"fever, headache, malaise, muscle pain, lymphadenopathy"
A21.2,"fever, headache, fatigue, muscle aches, swollen lymph nodes"
A21.3,"fever, headache, lymphadenopathy, hepatomegaly, skin rash"
A21.7,"fever, headache, chills, muscle pain, skin lesions"
A21.8,"fever, swollen lymph nodes, fatigue, headache, muscle pain"
A21.9,"fever, chills, muscle pain, headache, swollen lymph nodes"
A22.0,"fever, chills, fatigue, headache, chest pain"
A22.1,"fever, muscle pain, headache, fatigue, swollen lymph nodes"
A22.2,"fever, fatigue, muscle aches, chest pain, cough"
A22.7,"fever, malaise, muscle pain, headache, swollen lymph nodes"
A22.8,"fever, fatigue, headache, cough, chest pain"
A22.9,"fever, fatigue, chest pain, cough, shortness of breath"
A23.0,"fever, chills, headache, muscle pain, joint pain"
A23.1,"fever, chills, headache, muscle pain, night sweats"
A23.2,"fever, headache, muscle pain, chills, fatigue"
A23.3,"fever, headache, chills, muscle aches, fatigue"
A23.8,"fever, fatigue, headache, muscle aches, joint pain"
A23.9,"fever, headache, muscle pain, nausea, fatigue"
A24.0,"fever, headaches, muscle pain, chest pain, and respiratory distress"
A24.1,"fever, headache, muscle pain, skin rash, lymphadenopathy"
A24.2,"fever, fatigue, weight loss, chest pain, cough"
A24.3,"fever, cough, muscle pain, chest pain, difficulty breathing"
A24.4,"fever, muscle pain, vomiting, diarrhea, confusion"
A25.0,"fever, swelling, erythema, tenderness at the site, axillary pain"
A25.1,"fever, rash, fatigue, headache, muscle aches"
A25.9,"fever, headache, muscle pain, swollen lymph nodes, fatigue"
