disease,symptoms
chickenpox,"Loss of appetite, Headache, Tiredness, feeling of being unwell"
meningitis,"cold hands, vomiting, confusion, Breathing quickly, Muscle and joint pain, pale skin, mottled skin, headache"
Gonorrhoea,"discoloration and swelling at the penis opening, testicular swelling or p, tching and soreness in your anus, rectal bleeding or discharge, pain when having bowel movements"
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
Hypothyroidism,"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
Hepatitis E,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding, acute liver failure"
Impetigo,"skin rash, high fever, blister, red sore around nose, yellow crust ooze"
Hepatitis,"Fatigue, Loss of appetite, Nausea and/or vomiting, Abdominal pain, Dark urine, Joint pain, Jaundice,, Clay-colored bowel movements"
Gastro-oesophageal reflux disease,"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain"
Jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain"
(vertigo) Paroymsal  Positional Vertigo,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness"
Tetanus,"Trouble swallowing, Seizures, Headache, Fever and sweating, Painful muscle stiffness all over the body, bloody stools, diarrhea, fever"
Constipation,"Straining to have bowel movements, Passing fewer than three stools a week"
Migraine,"Mood changes, from depression to euphoria, Food cravings, Neck stiffness, Increased urination, Fluid retention, Frequent yawning, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
Hyperthyroidism,"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
covid-19,"Cough, Tiredness, Loss of taste or smell, Difficulty in breathing, Chills muscle aches, Chest pain, Pink eye, Sore throat"
Peptic ulcer diseae,"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching, indigestion"
stroke,"weakness in arm, weakness in leg, trouble seeing from one or both eye, severe headache with no known cause, trouble walking, sudden confusion, difficulty in speaking, difficulty in understanding"
Alzheimer’s Disea,"Forgetting recently learned information, Misplacing things, Problems with words in writing or speaking, Poor judgment and decision making, Inability to manage budget"
cholera,"nausea, vomiting, glassy or sunken eyes, dry, shriveled skin, irregular heartbeat, lack of energy,, unusual sleepiness, dry mouth and extreme thirst"
Heart attack,"vomiting, breathlessness, sweating, chest pain"
Tuberculosis,"Coughing up blood, Chills, Fever, Night sweats, Loss of appetite, Unintentional weight loss, chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
Paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side, altered sensorium"
Typhoid,"chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain, headache"
Brain tumor,"Seizures or convulsions., Difficulty thinking,, Loss of balance,, Loss of hearing., Vision changes, fits (seizures), regularly feeling sick"
Bronchial Asthma,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum"
Chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
HIV/AIDS,"Headache., muscle aches, joint pain, rash, sore throat, painful mouth sores, diarrhea, weight loss"
Food poisoning,"Vomiting., Diarrhea., Diarrhea with bloody stools., Stomach pain and cramps., Fever., Headache., Weakness., Changes in sound of the voice."
Hepatitis C,"fatigue, yellowish skin, nausea, loss of appetite, family history, yellowing of eyes"
Acne,"skin rash, pus filled pimples, blackheads, scurring"
Diphtheria,"Fever and chills, Difficulty breathing, Tiredness, rapid breathing, Swollen glands, sore throat, hoarseness"
Alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload"
Varicose veins,"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf"
Urinary tract infection,"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine"
Psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
Malaria,"Muscle pain, Nausea, Abdominal pain, Headache, Diarrhea, chills, vomiting, high fever, sweating, headache, nausea, muscle pain, diarrhoea"
