ID,Disease,Fever,Cough,Headache,Rash,Fatigue,Nausea,Vomiting,Diarrhea,Sore Throat,Muscle Pain,Joint Pain,Chest Pain,Shortness of Breath,Abdominal Pain,Back Pain,Dizziness,Weight Loss,Sweating,Itchy Skin,Blurred Vision,Swelling,Runny Nose,Congestion,Loss of Appetite,Painful Urination,Fever Blisters,Loss of Smell,Loss of Taste,Numbness,Tingling,Chills,Hoarseness,Doctor Specialization,Cause,Treatment,Risk of Disease,,,,,,,,,,,,
1,Flu,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,General Practitioner,Viral Infection,"Antiviral Medication (e.g., Oseltamivir)",Medium,,,,,,,,,,,,
2,Cold,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,General Practitioner,Viral Infection,"Symptomatic Relief (e.g., Decongestants)",Medium,,,,,,,,,,,,
3,Chickenpox,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,Pediatrician,Viral Infection,"Antiviral Medication (e.g., Acyclovir)",High,,,,,,,,,,,,
4,Allergies,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Allergist,Allergens,"Antihistamines (e.g., Loratadine)",Medium,,,,,,,,,,,,
5,Asthma,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,Allergist,Environmental Triggers,"Bronchodilators (e.g., Albuterol)",High,,,,,,,,,,,,
6,Diabetes,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,Endocrinologist,Metabolic Disorder,Insulin or Oral Hypoglycemics,High,,,,,,,,,,,,
7,Hypertension,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Cardiologist,Cardiovascular,"Antihypertensives (e.g., Lisinopril)",High,,,,,,,,,,,,
8,Migraine,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Neurologist,Neurological,"Pain Relievers (e.g., Sumatriptan)",Medium,,,,,,,,,,,,
9,Pneumonia,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Pulmonologist,Bacterial Infection,"Antibiotics (e.g., Amoxicillin)",High,,,,,,,,,,,,
10,Tuberculosis,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Pulmonologist,Bacterial Infection,"Antibiotics (e.g., Rifampin)",High,,,,,,,,,,,,
11,Hepatitis,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Gastroenterologist,Viral Infection,"Antiviral Medication (e.g., Interferon)",High,,,,,,,,,,,,
12,UTI,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Urologist,Bacterial Infection,"Antibiotics (e.g., Ciprofloxacin)",Medium,,,,,,,,,,,,
13,Sinusitis,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Otolaryngologist,Viral/Bacterial Infection,"Decongestants (e.g., Pseudoephedrine)",Medium,,,,,,,,,,,,
14,Conjunctivitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Ophthalmologist,Viral/Bacterial Infection,"Antibiotic Drops (e.g., Erythromycin)",Low,,,,,,,,,,,,
15,Gastroenteritis,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Gastroenterologist,Viral/Bacterial Infection,"Rehydration Solutions (e.g., ORS)",Medium,,,,,,,,,,,,
16,Eczema,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Dermatologist,Allergens/ Irritants,"Topical Steroids (e.g., Hydrocortisone)",Medium,,,,,,,,,,,,
17,Psoriasis,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Dermatologist,Autoimmune,"Topical Treatments (e.g., Calcipotriene)",Medium,,,,,,,,,,,,
18,Rheumatoid Arthritis,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune,"Disease-Modifying Drugs (e.g., Methotrexate)",High,,,,,,,,,,,,
