icd10,doid  
E88.9,0014667
Z88.1,0040008
Z88.4,0040010
L23.0,0040046
L23.0,0040056
J16.0,0040083
J13,0040084
M08.1,0040092
M32.0,0040093
O26.4,0040098
L95.0,0040099
A83.5,0050118
D76.1,0050120
J01,0050127
B36.9,0050133
J35.02,0050145
J04,0050148
J37.1,0050148
J69.0,0050152
J84.112,0050156
J84.116,0050157
J84.117,0050158
A18.17,0050166
A84.1,0050175
G70.80,0050214
A59.00,0050269
E00.1,0050328
E03.1,0050328
G25.81,0050425
L51.1,0050426
Q82.1,0050427
Q82.8,0050429
E31.22,0050430
F84.5,0050432
A81.83,0050433
E75.26,0050441
G60.1,0050444
I49.8,0050451
M04.1,0050452
Q04.3,0050453
A31.1,0050456
C93.3,0050458
Q93.3,0050460
E77.1,0050461
L60.5,0050468
Q84.1,0050472
E78.71,0050476
R21,0050486
B08.2,0050495
C91.5,0050523
E11.8,0050524
G12.1,0050529
H53.63,0050534
H35.00,0050535
H90.3,0050564
H90.3,0050565
H90.3,0050566
Q87.1,0050569
H35.5,0050572
Q61.5,0050576
D70,0050590
K00.0,0050591
Q77.2,0050592
B68.1,0050596
B65.1,0050597
B65.2,0050597
G31.8,0050629
E70.3,0050632
G98,0050635
E85.82,0050638
Q21.2,0050651
Q87.89,0050657
H35.5,0050661
Q86.0,0050665
K76.8,0050674
I42,0050700
F17,0050742
G71.1,0050759
Q87.8,0050764
Q04.3,0050777
Q87.8,0050779
E16.4,0050782
E25,0050811
I44.3,0050820
I07,0050826
G24.2,0050835
G24.1,0050835
G47.3,0050847
G47.33,0050848
M04.2,0050854
G11.4,0050886
D81.8,0060010
C85.9,0060058
C85.9,0060060
C88.2,0060125
R48.2,0060135
G40.3,0060170
G72.3,0060173
G43.8,0060178
Q87.5,0060179
K52.9,0060180
K55.9,0060181
K52.83,0060182
K52.831,0060183
K52.832,0060184
A04.7,0060185
K52,0060186
K52,0060187
K50.0,0060188
K52.9,0060189
K52.9,0060190
K50.0,0060191
K50.1,0060192
G12.2,0060193
G12.2,0060194
G12.2,0060196
G37.0,0060215
H16.32,0060216
M34.1,0060218
Q78.4,0060221
E76.0,0060222
R48.8,0060223
Q87.8,0060225
M21.8,0060231
Q87.0,0060232
Q87.8,0060233
E79.8,0060236
Q38.0,0060239
F80.81,0060243
G11.4,0060245
M41.9,0060249
Q87.19,0060254
H02.4,0060260
Q10.0,0060261
K82.9,0060262
Q04.6,0060263
Q04.3,0060270
Q04.3,0060276
Q04.3,0060277
Q04.3,0060278
G40.8,0060281
D59.5,0060284
D59.6,0060284
Q13.4,0060287
Q77.3,0060292
Q77.3,0060293
D84.1,0060295
D84.1,0060297
D84.1,0060298
D84.1,0060299
D84.1,0060300
D84.1,0060301
D84.1,0060302
D84.1,0060303
K12.2,0060310
J35.2,0060311
K13.0,0060312
Q32.0,0060313
K13.3,0060315
Q87.0,0060316
J85.2,0060317
C92.4,0060318
I46,0060319
K40,0060320
Q79.2,0060321
H70.9,0060322
K04.6,0060324
D26.9,0060325
Q05,0060326
Q79.2,0060327
K60.3,0060328
O00,0060329
P70.2,0060334
E71.111,0060336
Q18.2,0060341
E78.3,0060357
E71.313,0060358
Q87.0,0060359
Q87.0,0060380
Q93.5,0060390
Q93.5,0060391
Q93.5,0060394
Q93.5,0060395
Q93.5,0060397
Q93.5,0060400
Q85.0,0060403
Q93.5,0060404
Q93.5,0060405
Q93.5,0060407
Q93.5,0060409
Q93.5,0060411
Q93.5,0060412
Q93.5,0060415
Q93.5,0060417
Q93.5,0060422
Q93.5,0060425
Q99.8,0060427
Q93.5,0060428
Q92.3,0060430
Q92.3,0060431
Q92.3,0060432
Q92.3,0060433
Q92.3,0060434
Q92.3,0060435
Q92.3,0060436
H18.5,0060445
H18.5,0060446
H18.5,0060447
H18.5,0060450
H18.52,0060451
H18.5,0060452
H18.5,0060454
H18.5,0060457
Q92.3,0060459
Q92.3,0060460
