type,typeCode,title
subcategory,D50.0,"Iron deficiency anaemia secondary to blood loss (chronic)"
subcategory,D50.1,"Sideropenic dysphagia"
subcategory,D50.8,"Other iron deficiency anaemias"
subcategory,D50.9,"Iron deficiency anaemia, unspecified"
subcategory,D51.0,"Vitamin B 12 deficiency anaemia due to intrinsic factor deficiency"
subcategory,D51.1,"Vitamin B 12 deficiency anaemia due to selective vitamin B 12 malabsorption with proteinuria"
subcategory,D51.2,"Transcobalamin II deficiency"
subcategory,D51.3,"Other dietary vitamin B 12 deficiency anaemia"
subcategory,D51.8,"Other vitamin B 12 deficiency anaemias"
subcategory,D51.9,"Vitamin B 12 deficiency anaemia, unspecified"
subcategory,D52.0,"Dietary folate deficiency anaemia"
subcategory,D52.1,"Drug-induced folate deficiency anaemia"
subcategory,D52.8,"Other folate deficiency anaemias"
subcategory,D52.9,"Folate deficiency anaemia, unspecified"
subcategory,D53.0,"Protein deficiency anaemia"
subcategory,D53.1,"Other megaloblastic anaemias, not elsewhere classified"
subcategory,D53.2,"Scorbutic anaemia"
subcategory,D53.8,"Other specified nutritional anaemias"
subcategory,D53.9,"Nutritional anaemia, unspecified"
subcategory,D55.0,"Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency"
subcategory,D55.1,"Anaemia due to other disorders of glutathione metabolism"
subcategory,D55.2,"Anaemia due to disorders of glycolytic enzymes"
subcategory,D55.3,"Anaemia due to disorders of nucleotide metabolism"
subcategory,D55.8,"Other anaemias due to enzyme disorders"
subcategory,D55.9,"Anaemia due to enzyme disorder, unspecified"
subcategory,D56.0,"Alpha thalassaemia"
subcategory,D56.1,"Beta thalassaemia"
subcategory,D56.2,"Delta-beta thalassaemia"
subcategory,D56.3,"Thalassaemia trait"
subcategory,D56.4,"Hereditary persistence of fetal haemoglobin [HPFH]"
subcategory,D56.8,"Other thalassaemias"
subcategory,D56.9,"Thalassaemia, unspecified"
subcategory,D57.0,"Sickle-cell anaemia with crisis"
subcategory,D57.1,"Sickle-cell anaemia without crisis"
subcategory,D57.2,"Double heterozygous sickling disorders"
subcategory,D57.3,"Sickle-cell trait"
subcategory,D57.8,"Other sickle-cell disorders"
subcategory,D58.0,"Hereditary spherocytosis"
subcategory,D58.1,"Hereditary elliptocytosis"
subcategory,D58.2,"Other haemoglobinopathies"
subcategory,D58.8,"Other specified hereditary haemolytic anaemias"
subcategory,D58.9,"Hereditary haemolytic anaemia, unspecified"
subcategory,D59.0,"Drug-induced autoimmune haemolytic anaemia"
subcategory,D59.1,"Other autoimmune haemolytic anaemias"
subcategory,D59.2,"Drug-induced nonautoimmune haemolytic anaemia"
subcategory,D59.3,"Haemolytic-uraemic syndrome"
subcategory,D59.4,"Other nonautoimmune haemolytic anaemias"
subcategory,D59.5,"Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]"
subcategory,D59.6,"Haemoglobinuria due to haemolysis from other external causes"
subcategory,D59.8,"Other acquired haemolytic anaemias"
subcategory,D59.9,"Acquired haemolytic anaemia, unspecified"
subcategory,D60.0,"Chronic acquired pure red cell aplasia"
subcategory,D60.1,"Transient acquired pure red cell aplasia"
subcategory,D60.8,"Other acquired pure red cell aplasias"
subcategory,D60.9,"Acquired pure red cell aplasia, unspecified"
subcategory,D61.0,"Constitutional aplastic anaemia"
subcategory,D61.1,"Drug-induced aplastic anaemia"
subcategory,D61.2,"Aplastic anaemia due to other external agents"
subcategory,D61.3,"Idiopathic aplastic anaemia"
subcategory,D61.8,"Other specified aplastic anaemias"
subcategory,D61.9,"Aplastic anaemia, unspecified"
category,D62,"Acute posthaemorrhagic anaemia"
subcategory,D63.0,"Anaemia in neoplastic disease"
subcategory,D63.8,"Anaemia in other chronic diseases classified elsewhere"
subcategory,D64.0,"Hereditary sideroblastic anaemia"
